model_name,predictions
Llama-3.1-8B-Instruct,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# ip address 10.0.14.1 255.255.255.0
R1(config-if)# end"
Llama-3.1-8B-Instruct,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# mtu 1500
R2(config-if)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# interface loopback0
R3(config-if)# ip address 33.33.33.33 255.255.255.255
R3(config-if)# end"
Llama-3.1-8B-Instruct,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# no shutdown
R1(config-if)# end"
Llama-3.1-8B-Instruct,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# shutdown
R2(config-if)# end"
Llama-3.1-8B-Instruct,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# description Link to R3
R2(config-if)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# bandwidth 1500
R3(config-if)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# interface Ethernet0/2
R3(config-if)# no ip proxy-arp
R3(config-if)# end"
Llama-3.1-8B-Instruct,"R4# configure terminal
R4(config)# interface Ethernet0/1
R4(config-if)# ip arp timeout 600
R4(config-if)# end"
Llama-3.1-8B-Instruct,"R4# configure terminal
R4(config)# interface loopback0
R4(config-if)# ip address 44.44.44.44 255.255.255.255
R4(config-if)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# ip route 10.0.1.0 255.255.255.0 10.0.23.1
R3(config)# end"
Llama-3.1-8B-Instruct,"R4# configure terminal
R4(config)# ip route 0.0.0.0 0.0.0.0 10.0.14.1
R4(config)# end"
Llama-3.1-8B-Instruct,"R2# configure terminal
R2(config)# ip route 10.0.1.0 255.255.255.0 10.0.12.1
R2(config)# end"
Llama-3.1-8B-Instruct,"R2# configure terminal
R2(config)# router ospf 2
R2(config-router)# network 10.0.12.0 0.0.0.0 area 0
R2(config-router)# network 10.0.23.0 0.0.0.0 area 0
R2(config-router)# network 10.0.24.0 0.0.0.0 area 0
R2(config-router)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# ip ospf router-id 3.3.3.3
R3(config)# end"
Llama-3.1-8B-Instruct,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# ip ospf cost 50
R2(config-if)# end"
Llama-3.1-8B-Instruct,"R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# passive interface Ethernet0/2
R4(config-router)# end"
Llama-3.1-8B-Instruct,"R4# configure terminal
R4(config)# no ip route 0.0.0.0 0.0.0.0 10.0.14.1
R4(config)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# interface Ethernet0/2
R3(config-if)# ip ospf hello-interval 10
R3(config-if)# end"
Llama-3.1-8B-Instruct,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# ip ospf authentication key-chain R1-R4
R1(config-if)# ip ospf authentication key-chain R1-R4
R1(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/0
R4(config-if)# ip ospf authentication key-chain R1-R4
R4(config-if)# ip ospf authentication key-chain R1-R4
R4(config-if)# end"
Llama-3.1-8B-Instruct,"R1# configure terminal
R1(config)# ip access-list extended DENY_SSH
R1(config-ext-nacl)# deny tcp 10.0.1.0 0.0.0.255 any eq 23
R1(config-ext-nacl)# permit ip any any
R1(config-ext-nacl)# end"
Llama-3.1-8B-Instruct,"R1# configure terminal
R1(config)# ip access-list extended DENY_TELNET
R1(config-ext-nacl)# deny tcp 10.0.1.0 0.0.0.255 any eq 23
R1(config-ext-nacl)# permit ip any any
R1(config-ext-nacl)# exit
R1(config)# interface Ethernet0/0
R1(config-if)# ip access-group DENY_TELNET in
R1(config-if)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# ip access-group 101 in
R3(config)# ip access-list 101
R3(config-std-nacl)# permit ip 10.0.2.0 0.0.0.255 any
R3(config-std-nacl)# end"
Llama-3.1-8B-Instruct,"R4# configure terminal
R4(config)# ip access-list extended DENY_ICMP
R4(config-ext-nacl)# deny icmp any 10.0.14.0 0.0.0.255
R4(config-ext-nacl)# permit ip any any
R4(config-ext-nacl)# end"
Llama-3.1-8B-Instruct,"R3# configure terminal
R3(config)# ip domain-name lab.local
R3(config)# ip ssh version 2
R3(config)# crypto key generate rsa general-keys bits 1024
R3(config)# crypto key generate rsa general-keys bits 1024 modulus 1024
R3(config)# line vty
R3(config-line)# transport input ssh
R3(config-line)# exit
R3(config)# end"
