model_name,predictions
Qwen2.5-7B-QLoRA+RAG_topo,"R1# configure terminal
R1(config)# hostname R1
R1(config)#"
Qwen2.5-7B-QLoRA+RAG_topo,"R1(config)# enable secret Str0ng!Pass
R1(config)# enable password cisco123"
Qwen2.5-7B-QLoRA+RAG_topo,"R2# enable
R2# configure terminal
R2(config)# line console 0
R2(config-line)# exec-timeout 10 30
R2(config-line)# end"
Qwen2.5-7B-QLoRA+RAG_topo,"R3(config)# line console 0
R3(config-line)# exec-timeout 0 0"
Qwen2.5-7B-QLoRA+RAG_topo,"R1(config)# interface gigabitethernet 0/0/0
R1(config-if)# description Link to SW1
R1(config-if)# ip address 10.0.1.1 255.255.255.0
R1(config-if)# no shutdown"
Qwen2.5-7B-QLoRA+RAG_topo,"SW1# configure terminal
SW1(config)# interface vlan 20
SW1(config-vlan)# ip address 10.0.20.1 255.255.255.0
SW1(config-vlan)# exit
SW1(config)# ip default-gateway 10.0.20.254
SW1(config)# end"
Qwen2.5-7B-QLoRA+RAG_topo,"R1# configure terminal
R1(config)# router rip
R1(config-router)# version 2
R1(config-router)# network 10.0.1.0
R1(config-router)# network 10.0.12.0
R1(config-router)# no auto-summary
R1(config-router)# end"
Qwen2.5-7B-QLoRA+RAG_topo,"R2# configure terminal
R2(config)# interface loopback 0
R2(config-if)# ip address 192.168.100.1 255.255.255.255
R2(config-if)# ipv6 address 2001:db8:1::1/128
R2(config-if)# exit"
Qwen2.5-7B-QLoRA+RAG_topo,"R1(config)# ip domain-name network.lab
R1(config)# ip name-server 8.8.8.8"
Qwen2.5-7B-QLoRA+RAG_topo,"R3# configure terminal
R3(config)# interface loopback 0
R3(config-if)# ip address 10.255.0.1 255.255.255.255
R3(config-if)# ipv6 address 2001:db8:ffff::1/128
R3(config-if)# exit"
Qwen2.5-7B-QLoRA+RAG_topo,"R4# configure terminal
R4(config)# hostname R4
R4(config)# enable secret MyS3cr3t
R4(config)# no exec-timeout
R4(config)# end"
Qwen2.5-7B-QLoRA+RAG_topo,R1(config)# ip routing
Qwen2.5-7B-QLoRA+RAG_topo,"R1(config)# aaa new-model
R1(config)# aaa authentication login default group tacacs+
R1(config)# aaa authorization exec default group tacacs+ if-authenticated
R1(config)# aaa authorization network default group tacacs+ if-authenticated
R1(config)# tacacs-server host 10.0.0.10 key TacKey!
R1(config)# line vty 0 4
R1(config-line)# password hostword
R1(config-line)# login tacacs
R1(config)# crypto key generate rsa modulus 2048
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config)# crypto key exportable
R1(config"
Qwen2.5-7B-QLoRA+RAG_topo,"R1# configure terminal
R1(config)# hostname R1
R1(config)# enable secret T0p$ecret
R1(config)# ip domain-name wan.corp
R1(config)# ip name-server 10.0.0.53
R1(config)# no ip domain-lookup
R1(config)# exec-timeout 5 0
R1(config)# line vty 1 5
R1(config-line)# exec-timeout 10 0"
