model_name,predictions
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
enable secret Str0ng!Pass
enable password cisco123
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
enable
line console 0
 exec-timeout 10 30
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
line console 0
 exec-timeout 0 0
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface gigabitethernet 0/0/0
 description Link to SW1
 ip address 10.0.1.1 255.255.255.0
 no shutdown
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface vlan 20
 ip address 10.0.20.1 255.255.255.0
!
ip default-gateway 10.0.20.254
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
router rip
 version 2
 network 10.0.1.0
 network 10.0.12.0
 no auto-summary
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
interface loopback 0
 ip address 192.168.100.1 255.255.255.255
 ipv6 address 2001:db8:1::1/128
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
ip domain-name network.lab
ip name-server 8.8.8.8
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface loopback 0
 ip address 10.255.0.1 255.255.255.255
 ipv6 address 2001:db8:ffff::1/128
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router4.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R4
enable secret MyS3cr3t
no exec-timeout
!
end
[/configs/router4.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
ip routing
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
aaa new-model
!
aaa authentication login default group tacacs+
!
aaa authorization exec default group tacacs+ if-authenticated
!
aaa authorization network default group tacacs+ if-authenticated
!
tacacs-server host 10.0.0.10 key TacKey!
line vty 0 4
 password hostword
 login tacacs
!
crypto key generate rsa modulus 2048
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
crypto key exportable
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
enable secret T0p$ecret
ip domain-name wan.corp
ip name-server 10.0.0.53
no ip domain-lookup
exec-timeout 5 0
line vty 1 5
 exec-timeout 10 0
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface ethernet 0/1
 description 'WAN to R2'
 ip address 10.0.12.1 255.255.255.0
 no shutdown
!
ip default-gateway 10.0.12.2
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
enable secret Admin!2024
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-QLoRA+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
enable
router rip
 version 2
 network 10.0.12.0
 network 10.0.23.0
 network 10.0.24.0
 no auto-summary
!
interface Ethernet 0/0
 passive-interface
!
!
end
[/configs/router2.cfg]"
