model_name,predictions
Qwen2.5-7B-Base+NoRAG_topo,R1(config)#hostname R1
Qwen2.5-7B-Base+NoRAG_topo,"R1(config)#enable secret Str0ng!Pass
R1(config)#enable password cisco123"
Qwen2.5-7B-Base+NoRAG_topo,"R2(config-line)#line console 0
R2(config-line)#exec-timeout 10 30"
Qwen2.5-7B-Base+NoRAG_topo,R3(config)#no exec-timeout
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)#interface Ethernet0/0
R1(config-if)#description Link to SW1
R1(config-if)#ip address 10.0.1.1 255.255.255.0
R1(config-if)#no shutdown"
Qwen2.5-7B-Base+NoRAG_topo,"SW1(config)#interface vlan 20
SW1(config-if)#ip address 10.0.20.1 255.255.255.0
SW1(config-if)#no shutdown"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config)#router rip v2
R1(config-router)#network 10.0.1.0
R1(config-router)#network 10.0.12.0
R1(config-router)#no auto-summary"
Qwen2.5-7B-Base+NoRAG_topo,"R2(config)#interface Loopback0
R2(config-if)#ip address 192.168.100.1 255.255.255.255
R2(config-if)#exit
R2(config)#interface Loopback1
R2(config-if)#ipv6 address 2001:db8:1::1/128
R2(config-if)#exit"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config)#ip domain-name network.lab
R1(config)#ip name-server 8.8.8.8"
Qwen2.5-7B-Base+NoRAG_topo,"R3(config)#interface Loopback0
R3(config-if)#ip address 10.255.0.1 255.255.255.255
R3(config-if)#ipv6 address 2001:db8:ffff::1/128"
Qwen2.5-7B-Base+NoRAG_topo,"R4(config)#hostname R4
R4(config)#enable secret MyS3cr3t
R4(config)#no exec-timeout"
Qwen2.5-7B-Base+NoRAG_topo,R1(config)#ip routing
Qwen2.5-7B-Base+NoRAG_topo,"R1(config)#aaa new-model
R1(config)#aaa authentication login default group tacacs+ local
R1(config)#aaa authorization exec default group tacacs+ local
R1(config)#aaa accounting exec default start-stop group tacacs+
R1(config)#tacacs-server host 10.0.0.10 key TacKey!
R1(config)#ip domain-name example.com
R1(config)#crypto key generate rsa
R1(config)#ip ssh version 2
R1(config)#ip ssh time-out 60
R1(config)#ip ssh cipher aes128-cbc
R1(config)#ip ssh authentication-retries 2"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config)#hostname R1
R1(config)#enable secret T0p$ecret
R1(config)#ip domain-name wan.corp
R1(config)#no ip domain-lookup
R1(config)#line con 0
R1(config-line)#exec-timeout 5 0
R1(config-line)#exit
R1(config)#line vty 0 15
R1(config-line)#login
R1(config-line)#exec-timeout 10 0
R1(config-line)#exit"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)#interface Ethernet0/1
R1(config-if)#description 'WAN to R2'
R1(config-if)#ip address 10.0.12.1 255.255.255.0
R1(config-if)#no shutdown
R1(config-if)#ip default-gateway 10.0.12.2"
Qwen2.5-7B-Base+NoRAG_topo,"SW1(config)#hostname SW1
SW1(config)#enable secret Admin!2024"
Qwen2.5-7B-Base+NoRAG_topo,"R2(config)#router rip v2
R2(config-router)#no auto-summary
R2(config-router)#passive-interface Ethernet0/0"
Qwen2.5-7B-Base+NoRAG_topo,"SW1(config)#interface Vlan10
SW1(config-if)#ip address 10.0.10.1 255.255.255.0
SW1(config-if)#no shutdown
SW1(config-if)#exit

SW1(config)#interface Vlan20
SW1(config-if)#ip address 10.0.20.1 255.255.255.0
SW1(config-if)#no shutdown
SW1(config-if)#exit

SW1(config)#interface Vlan30
SW1(config-if)#ip address 10.0.30.1 255.255.255.0
SW1(config-if)#no shutdown
SW1(config-if)#exit

SW1(config)#interface Vlan99
SW1(config-if)#ip address 10.0.99.1 255.255.255.0
SW1(config-if)#no shutdown
SW1(config-if)#exit

SW1(config)#ip default-gateway 10.0.99.254"
Qwen2.5-7B-Base+NoRAG_topo,"R3(config)#interface Loopback0
R3(config-if)#ip address 1.1.1.1 255.255.255.255
R3(config-if)#exit
R3(config)#interface Loopback1
R3(config-if)#ip address 2.2.2.2 255.255.255.255
R3(config-if)#exit
R3(config)#router ospf
R3(config-router)#router-id 1.1.1.1"
Qwen2.5-7B-Base+NoRAG_topo,"R2(config)#hostname R2
R2(config)#enable secret P@ssw0rd!
R2(config)#ip domain-name branch.corp
R2(config)#ip name-server 8.8.8.8
R2(config)#no ip domain-lookup
R2(config)#interface Loopback0
R2(Loopback0-config)#ip address 10.255.1.1 255.255.255.255
R2(Loopback0-config)#exit
R2(config)#line console 0
R2(config-line)#exec-timeout 5 0
R2(config-line)#exit
R2(config)#line vty 0 15
R2(config-line)#exec-timeout 15 0
R2(config-line)#exit"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)# interface Ethernet0/0.10
R1(config-subif)# encapsulation dot1q 10
R1(config-subif)# ip address 10.0.10.1 255.255.255.0"
Qwen2.5-7B-Base+NoRAG_topo,"R3(config-if)# interface Ethernet0/2.40
R3(config-subif)# encapsulation dot1q 40 native
R3(config-subif)# exit
R3(config-if)# interface bridge-group 2
R3(config-br)# vlan 40
R3(config-br)# exit"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)# interface FastEthernet0/0
R1(config-if)# ip address 10.0.1.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# exit
R1(config)# interface FastEthernet0/1
R1(config-if)# ip address 10.0.12.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# exit
R1(config)# interface FastEthernet0/2
R1(config-if)# ip address 10.0.14.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# exit
R1(config)# interface FastEthernet0/0.10
R1(config-subif)# encapsulation dot1q 10
R1(config-subif)# ip address 10.0.10.1 255.255.255.0
R1(config-subif)# no shutdown
R1(config-subif)# exit
R1(config)# interface FastEthernet0/0.20
R1(config-subif)# encapsulation dot1q 20
R1(config-subif)# ip address 10.0.20.1 255.255.255.0
R1(config-subif"
Qwen2.5-7B-Base+NoRAG_topo,"SW1(config-if)#interface fastethernet 0/1  
SW1(config-if)#mdix auto"
Qwen2.5-7B-Base+NoRAG_topo,"SW1(config-if)#interface FastEthernet0/24
SW1(config-if)#switchport mode trunk
SW1(config-if)#switchport trunk encapsulation dot1q"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)# interface Ethernet0/0.20
R1(config-subif)# ip address 10.0.20.1 255.255.255.0"
Qwen2.5-7B-Base+NoRAG_topo,"R3(config-if)# interface Ethernet0/2.30
R3(config-subif)# ip address 10.0.30.1 255.255.255.0"
Qwen2.5-7B-Base+NoRAG_topo,"R3(config-if)# interface Ethernet0/2.30
R3(config-if)# encapsulation dot1q 30
R3(config-if)# switchport mode trunk
R3(config-if)# switchport trunk allowed vlan add 30
R3(config-if)# switchport trunk group 1"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)# interface Ethernet0/0.10
R1(config-subif)# encapsulation dot1q 10
R1(config-subif)# ip address 10.0.10.1 255.255.255.0
R1(config-subif)# exit

R1(config-if)# interface Ethernet0/0.20
R1(config-subif)# encapsulation dot1q 20
R1(config-subif)# ip address 10.0.20.1 255.255.255.0
R1(config-subif)# exit

R1(config)# ip routing"
Qwen2.5-7B-Base+NoRAG_topo,"R4(config-if)# interface Ethernet0/1  
R4(config-if)# ip unnumbered Loopback0  
R4(config-if)# exit"
Qwen2.5-7B-Base+NoRAG_topo,"R2(config-if)# interface Ethernet0/0  
R2(config-if)# ip address 10.0.12.2 255.255.255.0  
R2(config-if)# no shutdown"
Qwen2.5-7B-Base+NoRAG_topo,"R3(config-if)#interface Ethernet0/2
R3(config-if)#ip address 10.0.2.1 255.255.255.0
R3(config-if)#description LAN to SW2
R3(config-if)#no shutdown"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config)#interface Tunnel0
R1(config-if)#ip address 172.16.0.1 255.255.255.252
R1(config-if)#tunnel source 10.0.1.1
R1(config-if)#tunnel destination 10.0.12.2"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config)#crypto isakmp policy 1
R1(config-isakmp-policy)#encryption aes
R1(config-isakmp-policy)#hash sha
R1(config-isakmp-policy)#authentication pre-share
R1(config-isakmp-policy)#encryption-group 1
R1(config-isakmp-policy)#group 2
R1(config-isakmp-policy)#exit
R1(config)#crypto isakmp key SecretKey123 address 10.0.12.2
R1(config)#crypto ipsec transform-set myset esp-aes esp-sha-hmac
R1(config)#crypto ipsec security-association lifetime seconds 86400
R1(config)#interface Ethernet0/1
R1(config-if)#ipsec transform-set myset
R1(config-if)#exit"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)# interface Ethernet0/0.10
R1(config-subif)# ip address 10.0.10.129 255.255.255.128"
Qwen2.5-7B-Base+NoRAG_topo,"R4(config-if)#interface Loopback0
R4(config-if)#ip address 10.0.0.1 255.255.255.255"
Qwen2.5-7B-Base+NoRAG_topo,"R1(config-if)# interface Ethernet0/0
R1(config-if)# encapsulation dot1q 1
R1(config-if)# ip address 10.0.10.1 255.255.255.0
R1(config-if)# exit
R1(config-if)# interface Ethernet0/0.10
R1(config-subif)# encapsulation dot1q 10
R1(config-subif)# ip address 10.0.10.1 255.255.255.0
R1(config-subif)# exit
R1(config-if)# interface Ethernet0/0.20
R1(config-subif)# encapsulation dot1q 20
R1(config-subif)# ip address 10.0.20.1 255.255.255.0
R1(config-subif)# exit
R1(config-if)# interface Ethernet0/0.30
R1(config-subif)# encapsulation dot1q 30
R1(config-subif)# ip address 10.0.30.1 255.255.255.0
R1(config-subif)# exit
R1(config-if)# interface Ethernet0/0.99
R1(config-subif)# encapsulation dot1q 99
R1(config-subif)# ip address 10.0.99.1"
Qwen2.5-7B-Base+NoRAG_topo,"R3(config-if)# interface Ethernet0/2
R3(config-if)# encapsulation dot1q 30
R3(config-if)# ip address 10.0.30.1 255.255.255.0
R3(config-if)# exit
R3(config-if)# interface Ethernet0/2
R3(config-if)# encapsulation dot1q 40 native
R3(config-if)# ip address 10.0.40.1 255.255.255.0
R3(config-if)# exit
R3(config)# ip routing
R3(config)# interface Loopback0
R3(config-if)# ip address 10.255.3.3 255.255.255.255"
