model_name,predictions
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
enable secret Str0ng!Pass
enable password cisco123
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
line console 0
 exec-timeout 10 30
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
no exec-timeout
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/0
 description Link to SW1
 ip address 10.0.1.1 255.255.255.0
 no shutdown
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface vlan 20
 ip address 10.0.20.1 255.255.255.0
 no shutdown
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
router rip v2
 network 10.0.1.0
 network 10.0.12.0
 no auto-summary
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
interface Loopback0
 ip address 192.168.100.1 255.255.255.255
!
interface Loopback1
 ipv6 address 2001:db8:1::1/128
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
ip domain-name network.lab
ip name-server 8.8.8.8
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface Loopback0
 ip address 10.255.0.1 255.255.255.255
 ipv6 address 2001:db8:ffff::1/128
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router4.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R4
enable secret MyS3cr3t
no exec-timeout
!
end
[/configs/router4.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
ip routing
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
aaa new-model
!
aaa authentication login default group tacacs+ local
!
aaa authorization exec default group tacacs+ local
!
aaa accounting exec default start-stop group tacacs+
!
tacacs-server host 10.0.0.10 key TacKey!
ip domain-name example.com
crypto key generate rsa
ip ssh version 2
ip ssh time-out 60
ip ssh cipher aes128-cbc
ip ssh authentication-retries 2
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
enable secret T0p$ecret
ip domain-name wan.corp
no ip domain-lookup
line con 0
 exec-timeout 5 0
!
line vty 0 15
 login
 exec-timeout 10 0
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/1
 description 'WAN to R2'
 ip address 10.0.12.1 255.255.255.0
 no shutdown
 ip default-gateway 10.0.12.2
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+NoRAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
enable secret Admin!2024
!
end
[/configs/switch1.cfg]"
