model_name,predictions
Qwen2.5-7B-Base+RAG_topo,"R1# configure terminal
R1(config)# hostname R1
R1(config)#"
Qwen2.5-7B-Base+RAG_topo,"Router(config)# enable secret Str0ng!Pass
Router(config)# enable password cisco123"
Qwen2.5-7B-Base+RAG_topo,"R2(config)# line console 0
R2(config-line)# exec-timeout 10 30"
Qwen2.5-7B-Base+RAG_topo,R3(config-line)# exec-timeout 0 0
Qwen2.5-7B-Base+RAG_topo,"R1(config)# interface gigabitethernet 0/0
R1(config-if)# description Link to SW1
R1(config-if)# ip address 10.0.1.1 255.255.255.0
R1(config-if)# no shutdown"
Qwen2.5-7B-Base+RAG_topo,"SW1(config)# interface vlan 20
SW1(config-vlan)# ip address 10.0.20.1 255.255.255.0
SW1(config-vlan)# exit
SW1(config)# ip default-gateway 10.0.20.254"
Qwen2.5-7B-Base+RAG_topo,"Router(config)# router rip
Router(config-router)# version 2
Router(config-router)# network 10.0.1.0
Router(config-router)# network 10.0.12.0
Router(config-router)# no auto-summary
Router(config-router)#"
Qwen2.5-7B-Base+RAG_topo,"R2(config)# interface loopback 0
R2(config-if)# ip address 192.168.100.1 255.255.255.255
R2(config-if)# ipv6 address 2001:db8:1::1/128
R2(config-if)# exit"
Qwen2.5-7B-Base+RAG_topo,"R1(config)# ip domain-name network.lab  
R1(config)# ip name-server 8.8.8.8"
Qwen2.5-7B-Base+RAG_topo,"R3(config)# interface loopback 0
R3(config-if)# ip address 10.255.0.1 255.255.255.0
R3(config-if)# ipv6 address 2001:db8:ffff::1/128
R3(config-if)# exit"
Qwen2.5-7B-Base+RAG_topo,"R4# configure terminal
R4(config)# hostname R4
R4(config)# enable secret MyS3cr3t
R4(config)# line console 0
R4(config-line)# exec-timeout 0 0"
Qwen2.5-7B-Base+RAG_topo,Router(config)# ip routing
Qwen2.5-7B-Base+RAG_topo,"R1(config)# aaa new-model
R1(config)# aaa authentication login default group tacacs+ local
R1(config)# aaa authorization exec default group tacacs+ local
R1(config)# line vty 0 15
R1(config-line)# transport input ssh
R1(config-line)# login authentication default
R1(config)# ip tacacs server 10.0.0.10
R1(config)# ip tacacs source-interface Ethernet0/0
R1(config)# ip tacacs key 7 TacKey!"
Qwen2.5-7B-Base+RAG_topo,"R1(config)#hostname R1
R1(config)#enable secret T0p$ecret
R1(config)#no ip domain-lookup
R1(config)#ip domain-name wan.corp
R1(config)#ip name-server 10.0.0.53
R1(config)#line con 0
R1(config-line)#exec-timeout 5 0
R1(config-line)#exit
R1(config)#line vty 0 15
R1(config-line)#exec-timeout 10 0
R1(config-line)#exit"
