model_name,predictions
Qwen2.5-7B-QLoRA+NoRAG_topo,"R1# configure terminal
R1(config)# hostname R1
R1(config)# interface Ethernet0/0
R1(config-if)# ip address 10.0.1.1 255.255.255.0
R1(config-if)# exit
R1(config)# interface Ethernet0/1
R1(config-if)# ip address 10.0.12.1 255.255.255.0
R1(config-if)# exit
R1(config)# interface Ethernet0/2
R1(config-if)# ip address 10.0.14.1 255.255.255.0
R1(config-if)# exit
R1(config)# exit"
Qwen2.5-7B-QLoRA+NoRAG_topo,"R1# enable
Password: 
R1#
R1# configure terminal
Enter configuration commands, one per line. End with CNTL/Z.
R1(config)#
R1(config)# enable secret level 15 Str0ng!Pass
R1(config)# enable password cisco123
R1(config)#"
Qwen2.5-7B-QLoRA+NoRAG_topo,"R2# configure terminal
R2(config)# line console 0
R2(config-line)# exec-timeout 10 30"
Qwen2.5-7B-QLoRA+NoRAG_topo,R3(config)# exec timeout 0
Qwen2.5-7B-QLoRA+NoRAG_topo,"R1(config)# interface Ethernet0/0
R1(config-if)# description Link to SW1
R1(config-if)# ip address 10.0.1.1 255.255.255.0
R1(config-if)# no shutdown"
Qwen2.5-7B-QLoRA+NoRAG_topo,"SW1(config)# interface vlan 20
SW1(config-if)# ip address 10.0.20.1 255.255.255.0
SW1(config-if)# exit
SW1(config)# interface vlan 20
SW1(config-if)# ip address 10.0.20.1 255.255.255.0
SW1(config-if)# exit"
Qwen2.5-7B-QLoRA+NoRAG_topo,"R1(config)# router rip
R1(config-router)# version 2
R1(config-router)# network 10.0.1.0
R1(config-router)# network 10.0.12.0
R1(config-router)# no auto-summary"
Qwen2.5-7B-QLoRA+NoRAG_topo,"R2(config)# interface loopback 0
R2(config-if)# ip address 192.168.100.1 255.255.255.255
R2(config-if)# exit

R2(config)# interface loopback 1
R2(config-if)# ipv6 address 2001:db8:1::1/128
R2(config-if)# exit"
Qwen2.5-7B-QLoRA+NoRAG_topo,"R1(config)# ip domain-name network.lab
R1(config)# ip name-server 8.8.8.8"
Qwen2.5-7B-QLoRA+NoRAG_topo,"R3(config)# interface loopback 0
R3(config-if)# ip address 10.255.0.1 255.255.255.255
R3(config-if)# ipv6 address 2001:db8:ffff::1/128"
