model_name,prediction,verdict,pqs,files,passed,partially_parsed,failed,unknown,file_statuses,note
base,1,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router2.cfg=PARTIALLY_PARSED,
base,2,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router1.cfg=PARTIALLY_PARSED,
base,3,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router3.cfg=PARTIALLY_PARSED,
base,4,PASSED,1.0,1,1,0,0,0,configs/router4.cfg=PASSED,
base,5,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router1.cfg=PARTIALLY_PARSED,
base,6,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router2.cfg=PARTIALLY_PARSED,
base,7,UNKNOWN,0.0,1,0,0,0,1,,parser_returned_none
base,8,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router4.cfg=PARTIALLY_PARSED,
base,9,UNKNOWN,0.0,1,0,0,0,1,,parser_returned_none
base,10,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router2.cfg=PARTIALLY_PARSED,
base,11,PASSED,1.0,1,1,0,0,0,configs/router1.cfg=PASSED,
base,12,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router2.cfg=PARTIALLY_PARSED,
base,13,PASSED,1.0,1,1,0,0,0,configs/router3.cfg=PASSED,
base,14,PASSED,1.0,1,1,0,0,0,configs/router4.cfg=PASSED,
base,15,PASSED,1.0,1,1,0,0,0,configs/router1.cfg=PASSED,
base,16,PASSED,1.0,1,1,0,0,0,configs/router2.cfg=PASSED,
base,17,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router3.cfg=PARTIALLY_PARSED,
base,18,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router4.cfg=PARTIALLY_PARSED,
base,19,PASSED,1.0,1,1,0,0,0,configs/router1.cfg=PASSED,
base,20,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router2.cfg=PARTIALLY_PARSED,
base,21,PASSED,1.0,1,1,0,0,0,configs/router3.cfg=PASSED,
base,22,PASSED,1.0,1,1,0,0,0,configs/router1.cfg=PASSED,
base,23,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router2.cfg=PARTIALLY_PARSED,
base,24,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router3.cfg=PARTIALLY_PARSED,
base,25,PASSED,1.0,1,1,0,0,0,configs/router4.cfg=PASSED,
base,26,PARTIALLY_PARSED,0.5,1,0,1,0,0,configs/router1.cfg=PARTIALLY_PARSED,
base,27,PASSED,1.0,1,1,0,0,0,configs/router2.cfg=PASSED,
