entry,requirement,ground_truth
1,Configure the IP address on R1's interface connecting to R4.,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# ip address 10.0.14.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# end"
2,Set the MTU to 1500 on R2's interface that connects to R3.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# mtu 1500
R2(config-if)# end"
3,Configure the loopback interface 1 on R3 with IP address 33.33.33.33/32.,"R3# configure terminal
R3(config)# interface loopback 1
R3(config-if)# ip address 33.33.33.33 255.255.255.255
R3(config-if)# end"
4,Enable the interface on R1 that connects to R4.,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# no shutdown
R1(config-if)# end"
5,Shutdown R2's interface that connects to R4.,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# shutdown
R2(config-if)# end"
6,Set the description 'Link to R3' on R2's interface that connects to R3.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# description Link to R3
R2(config-if)# end"
7,Set the bandwidth on R3's interface connecting to R2 to 1500 Kbps.,"R3# configure terminal
R3(config)# interface Ethernet0/0
R3(config-if)# bandwidth 1500
R3(config-if)# end"
8,Disable proxy ARP on R3's interface connecting to SW2.,"R3# configure terminal
R3(config)# interface Ethernet0/2
R3(config-if)# no ip proxy-arp
R3(config-if)# end"
9,Set the ARP timeout to 600 seconds on R4's interface that connects to R2.,"R4# configure terminal
R4(config)# interface Ethernet0/1
R4(config-if)# arp timeout 600
R4(config-if)# end"
10,Configure the loopback interface 0 on R4 with IP address 44.44.44.44/32.,"R4# configure terminal
R4(config)# interface loopback 0
R4(config-if)# ip address 44.44.44.44 255.255.255.255
R4(config-if)# end"
11,Configure a static route on R3 to reach the 10.0.1.0/24 network via R2.,"R3# configure terminal
R3(config)# ip route 10.0.1.0 255.255.255.0 10.0.23.1
R3(config)# end"
