"configuration_guide","chapter","section","summary steps","Steps","Command or Action","Purpose"
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure Cisco 4000 Series ISR Hostname","1. enable
2. configure terminal
3. hostname name
4. Verify that the router prompt displays your new hostname.
5. end","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure Cisco 4000 Series ISR Hostname","1. enable
2. configure terminal
3. hostname name
4. Verify that the router prompt displays your new hostname.
5. end","Step 2","configure terminal
Example:
Router# configure terminal","Enters global configuration mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure Cisco 4000 Series ISR Hostname","1. enable
2. configure terminal
3. hostname name
4. Verify that the router prompt displays your new hostname.
5. end","Step 3","hostname name
Example:
Router(config)# hostname myrouter","Specifies or modifies the hostname for the network server."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure Cisco 4000 Series ISR Hostname","1. enable
2. configure terminal
3. hostname name
4. Verify that the router prompt displays your new hostname.
5. end","Step 4","Verify that the router prompt displays your new hostname.
Example:
myrouter(config)#","—"
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure Cisco 4000 Series ISR Hostname","1. enable
2. configure terminal
3. hostname name
4. Verify that the router prompt displays your new hostname.
5. end","Step 5","end
Example:
myrouter# end","(Optional) Returns to privileged EXEC mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Enable and Enable Secret Passwords","1. enable
2. configure terminal
3. enable password password
4. enable secret password
5. end
6. enable
7. end","Step 1","enable
Example:
Router> enable","Enables privileged EXEC mode. Enter your password if prompted."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Enable and Enable Secret Passwords","1. enable
2. configure terminal
3. enable password password
4. enable secret password
5. end
6. enable
7. end","Step 2","configure terminal
Example:
Router# configure terminal","Enters global configuration mode."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Enable and Enable Secret Passwords","1. enable
2. configure terminal
3. enable password password
4. enable secret password
5. end
6. enable
7. end","Step 3","enable password password
Example:
Router(config)# enable password pswd2","(Optional) Sets a local password to control access to various privilege levels. We recommend that you perform this step only if you boot an older image of the Cisco IOS-XE software or if you boot older boot ROMs that do not recognize the enable secret command."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Enable and Enable Secret Passwords","1. enable
2. configure terminal
3. enable password password
4. enable secret password
5. end
6. enable
7. end","Step 4","enable secret password
Example:
Router(config)# enable secret greentree","Specifies an additional layer of security over the enable password command. Do not use the same password that you entered in Step 3 ."
"Cisco 4000 Series ISRs Software Configuration Guide, Cisco IOS XE 17","Configure Initial Router Settings on Cisco 4000 Series ISRs","Use Cisco IOS XE CLI—Manual Configuration - Configure the Enable and Enable Secret Passwords","1. enable
2. configure terminal
3. enable password password
4. enable secret password
5. end
6. enable
7. end","Step 5","end
Example:
Router(config)# end","Returns to privileged EXEC mode."
