"configuration_guide","chapter","section","summary steps","Steps","Command or Action","Purpose"
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring an Interface - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring an Interface - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring an Interface - Procedure","","Step 3","interface
Example:
Device(config)# interface gigabitethernet1/0/1 Device(config-if)#","Identifies the interface type, the device number (only on stacking-capable switches), and the number of the connector. Note You do not need to add a space between the interface type and the interface number. For example, in the preceding line, you can specify either gigabitethernet 1/0/1 , gigabitethernet1/0/1 , gi 1/0/1 , or gi1/0/1 ."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring an Interface - Procedure","","Step 4","Follow each interface command with the interface configuration commands that the interface requires.","Defines the protocols and applications that will run on the interface. The commands are collected and applied to the interface when you enter another interface command or enter end to return to privileged EXEC mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring an Interface - Procedure","","Step 5","interface range or interface range macro","(Optional) Configures a range of interfaces. Note Interfaces configured in a range must be the same type and must be configured with the same feature options."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Configuring an Interface - Procedure","","Step 6","show interfaces","Displays a list of all interfaces on or configured for the switch. A report is provided for each interface that the device supports or for the specified interface."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Adding a Description for an Interface - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password, if prompted."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Adding a Description for an Interface - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Adding a Description for an Interface - Procedure","","Step 3","interface interface-id
Example:
Device(config)# interface gigabitethernet1/0/2","Specifies the interface for which you are adding a description, and enter interface configuration mode."
"Interface and Hardware Components Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring Interface Characteristics","Adding a Description for an Interface - Procedure","","Step 4","description string
Example:
Device(config-if)# description Connects to Marketing","Adds a description for an interface."
